tag,step,wall_time,value
loss/val_var/sithick,15,1782884382.548564,0.0007047366234473884
loss/val_var/so,15,1782884382.6093905,0.00029142439598217607
loss/val_var/thetao,15,1782884382.587351,0.0011281700571998954
loss/val_var/uo,15,1782884382.6439655,0.005088282283395529
loss/val_var/vo,15,1782884382.655293,0.005373601336032152
loss/val_var/zos,15,1782884382.5642805,0.0018974450649693608
loss/train,16,1782884680.8213816,0.0012327841250225902
loss/train,17,1782884975.4982545,0.0012227657716721296
loss/train,18,1782885272.4291234,0.0012045622570440173
loss/train,19,1782885569.3468094,0.0011845524422824383
loss/ema_val,20,1782885929.8886206,0.0011988685000687838
loss/ema_val_denorm,20,1782885929.8886251,0.014916013926267624
loss/train,20,1782885866.795223,0.001177478930912912
loss/val,20,1782885929.888582,0.0011952219065278769
loss/val_denorm,20,1782885929.8886156,0.014932813122868538
loss/val_denorm_lead/lead_01,20,1782885929.8886385,0.014932813122868538
loss/val_denorm_lead_var/siconc/lead_01,20,1782885930.0046322,0.003118206514045596
loss/val_denorm_lead_var/sithick/lead_01,20,1782885930.1505313,0.004986290354281664
loss/val_denorm_lead_var/so/lead_01,20,1782885930.8584847,0.009407853707671165
loss/val_denorm_lead_var/thetao/lead_01,20,1782885930.60896,0.03650869056582451
loss/val_denorm_lead_var/uo/lead_01,20,1782885930.8969116,0.010171772912144661
loss/val_denorm_lead_var/vo/lead_01,20,1782885930.9298222,0.010436107404530048
loss/val_denorm_lead_var/zos/lead_01,20,1782885930.5898848,0.00715655367821455
loss/val_denorm_var/siconc,20,1782885929.8886523,0.003118206514045596
loss/val_denorm_var/sithick,20,1782885930.0204213,0.004986290354281664
loss/val_denorm_var/so,20,1782885930.8372777,0.009407853707671165
loss/val_denorm_var/thetao,20,1782885930.5994787,0.03650869056582451
loss/val_denorm_var/uo,20,1782885930.8763745,0.010171772912144661
loss/val_denorm_var/vo,20,1782885930.91481,0.010436107404530048
loss/val_denorm_var/zos,20,1782885930.3733883,0.00715655367821455
loss/val_lead/lead_01,20,1782885929.8886297,0.0011952219065278769
loss/val_lead_var/siconc/lead_01,20,1782885929.88893,0.0031182034872472286
loss/val_lead_var/sithick/lead_01,20,1782885930.136585,0.0006542232586070895
loss/val_lead_var/so/lead_01,20,1782885930.8448145,0.00028984807431697845
loss/val_lead_var/thetao/lead_01,20,1782885930.6024077,0.00108916440512985
loss/val_lead_var/uo/lead_01,20,1782885930.8835285,0.00494912825524807
loss/val_lead_var/vo/lead_01,20,1782885930.9200213,0.005208570510149002
loss/val_lead_var/zos/lead_01,20,1782885930.3777952,0.001845747116021812
loss/val_norm,20,1782885929.8886085,0.0011952219065278769
loss/val_norm_lead/lead_01,20,1782885929.8886342,0.0011952219065278769
loss/val_norm_lead_var/siconc/lead_01,20,1782885929.9994442,0.0031182034872472286
loss/val_norm_lead_var/sithick/lead_01,20,1782885930.1432645,0.0006542232586070895
loss/val_norm_lead_var/so/lead_01,20,1782885930.8520935,0.00028984807431697845
loss/val_norm_lead_var/thetao/lead_01,20,1782885930.605693,0.00108916440512985
loss/val_norm_lead_var/uo/lead_01,20,1782885930.8894033,0.00494912825524807
loss/val_norm_lead_var/vo/lead_01,20,1782885930.925233,0.005208570510149002
loss/val_norm_lead_var/zos/lead_01,20,1782885930.5860224,0.001845747116021812
loss/val_norm_var/siconc,20,1782885929.8886478,0.0031182034872472286
loss/val_norm_var/sithick,20,1782885930.0140934,0.0006542232586070895
loss/val_norm_var/so,20,1782885930.6154828,0.00028984807431697845
loss/val_norm_var/thetao,20,1782885930.5964286,0.00108916440512985
loss/val_norm_var/uo,20,1782885930.8697975,0.00494912825524807
loss/val_norm_var/vo,20,1782885930.9087372,0.005208570510149002
loss/val_norm_var/zos,20,1782885930.3666966,0.001845747116021812
loss/val_var/siconc,20,1782885929.888643,0.0031182034872472286
loss/val_var/sithick,20,1782885930.009488,0.0006542232586070895
loss/val_var/so,20,1782885930.6123655,0.00028984807431697845
loss/val_var/thetao,20,1782885930.593351,0.00108916440512985
loss/val_var/uo,20,1782885930.8640442,0.00494912825524807
loss/val_var/vo,20,1782885930.903159,0.005208570510149002
loss/val_var/zos,20,1782885930.1575484,0.001845747116021812
loss/train,21,1782886803.0463903,0.0011644185287877917
loss/train,22,1782887253.600353,0.0011498251697048545
loss/train,23,1782887702.8401122,0.0011389156570658088
loss/train,24,1782888152.4727824,0.0011308965040370822
loss/ema_val,25,1782888700.2355359,0.0011344944359734654
loss/ema_val_denorm,25,1782888700.235543,0.01448143646121025
loss/train,25,1782888602.685008,0.0011238717706874013
loss/val,25,1782888700.2354524,0.0011513405479490757
loss/val_denorm,25,1782888700.2355278,0.014643874950706959
loss/val_denorm_lead/lead_01,25,1782888700.235559,0.014643874950706959
loss/val_denorm_lead_var/siconc/lead_01,25,1782888700.380716,0.0027771969325840473
loss/val_denorm_lead_var/sithick/lead_01,25,1782888700.4022558,0.004682228900492191
loss/val_denorm_lead_var/so/lead_01,25,1782888700.4808724,0.009359550662338734
loss/val_denorm_lead_var/thetao/lead_01,25,1782888700.4513764,0.035758696496486664
loss/val_denorm_lead_var/uo/lead_01,25,1782888700.4989662,0.009798786602914333
loss/val_denorm_lead_var/vo/lead_01,25,1782888700.9228454,0.010153697803616524
loss/val_denorm_lead_var/zos/lead_01,25,1782888700.4287956,0.006906786933541298
loss/val_denorm_var/siconc,25,1782888700.235574,0.0027771969325840473
loss/val_denorm_var/sithick,25,1782888700.3918617,0.004682228900492191
loss/val_denorm_var/so,25,1782888700.4654226,0.009359550662338734
loss/val_denorm_var/thetao,25,1782888700.4394674,0.035758696496486664
loss/val_denorm_var/uo,25,1782888700.489902,0.009798786602914333
loss/val_denorm_var/vo,25,1782888700.5086646,0.010153697803616524
loss/val_denorm_var/zos,25,1782888700.4174812,0.006906786933541298
loss/val_lead/lead_01,25,1782888700.2355487,0.0011513405479490757
loss/val_lead_var/siconc/lead_01,25,1782888700.2358763,0.0027771941386163235
loss/val_lead_var/sithick/lead_01,25,1782888700.3954163,0.0006143290083855391
loss/val_lead_var/so/lead_01,25,1782888700.4703882,0.00028826852212660015
loss/val_lead_var/thetao/lead_01,25,1782888700.443333,0.0010677693644538522
loss/val_lead_var/uo/lead_01,25,1782888700.4923854,0.004779818467795849
loss/val_lead_var/vo/lead_01,25,1782888700.713742,0.005074624437838793
loss/val_lead_var/zos/lead_01,25,1782888700.4217725,0.0017813298618420959
loss/val_norm,25,1782888700.2355094,0.0011513405479490757
loss/val_norm_lead/lead_01,25,1782888700.235554,0.0011513405479490757
loss/val_norm_lead_var/siconc/lead_01,25,1782888700.3771234,0.0027771941386163235
loss/val_norm_lead_var/sithick/lead_01,25,1782888700.3985898,0.0006143290083855391
loss/val_norm_lead_var/so/lead_01,25,1782888700.4755485,0.00028826852212660015
loss/val_norm_lead_var/thetao/lead_01,25,1782888700.447275,0.0010677693644538522
loss/val_norm_lead_var/uo/lead_01,25,1782888700.4958246,0.004779818467795849
loss/val_norm_lead_var/vo/lead_01,25,1782888700.7175388,0.005074624437838793
loss/val_norm_lead_var/zos/lead_01,25,1782888700.425672,0.0017813298618420959
loss/val_norm_var/siconc,25,1782888700.2355685,0.0027771941386163235
loss/val_norm_var/sithick,25,1782888700.3881772,0.0006143290083855391
loss/val_norm_var/so,25,1782888700.460181,0.00028826852212660015
loss/val_norm_var/thetao,25,1782888700.435616,0.0010677693644538522
loss/val_norm_var/uo,25,1782888700.4876027,0.004779818467795849
loss/val_norm_var/vo,25,1782888700.5053406,0.005074624437838793
loss/val_norm_var/zos,25,1782888700.412259,0.0017813298618420959
loss/val_var/siconc,25,1782888700.2355635,0.0027771941386163235
loss/val_var/sithick,25,1782888700.3844688,0.0006143290083855391
loss/val_var/so,25,1782888700.4556231,0.00028826852212660015
loss/val_var/thetao,25,1782888700.4323483,0.0010677693644538522
loss/val_var/uo,25,1782888700.485284,0.004779818467795849
loss/val_var/vo,25,1782888700.5022726,0.005074624437838793
loss/val_var/zos,25,1782888700.4073298,0.0017813298618420959
loss/train,26,1782889362.580574,0.0011178713757544756
loss/train,27,1782889808.23471,0.0011110864579677582
loss/train,28,1782890271.4902809,0.00110686756670475
loss/train,29,1782890711.5055451,0.0010999127989634871
loss/ema_val,30,1782891245.645933,0.0011058779200538993
loss/ema_val_denorm,30,1782891245.64594,0.014226949773728848
loss/train,30,1782891149.9903476,0.0010959164937958121
loss/val,30,1782891245.6458817,0.001121461857110262
loss/val_denorm,30,1782891245.6459265,0.01439614500850439
loss/val_denorm_lead/lead_01,30,1782891245.6459553,0.01439614500850439
loss/val_denorm_lead_var/siconc/lead_01,30,1782891245.6553345,0.0026728117372840643
loss/val_denorm_lead_var/sithick/lead_01,30,1782891245.7444198,0.004503775388002396
loss/val_denorm_lead_var/so/lead_01,30,1782891246.0216556,0.009311030618846416
loss/val_denorm_lead_var/thetao/lead_01,30,1782891245.77938,0.0350724533200264
loss/val_denorm_lead_var/uo/lead_01,30,1782891246.0469415,0.00954313762485981
loss/val_denorm_lead_var/vo/lead_01,30,1782891246.2715917,0.009776794351637363
loss/val_denorm_lead_var/zos/lead_01,30,1782891245.7646756,0.006696178112179041
loss/val_denorm_var/siconc,30,1782891245.6459696,0.0026728117372840643
loss/val_denorm_var/sithick,30,1782891245.6673198,0.004503775388002396
loss/val_denorm_var/so,30,1782891246.0080335,0.009311030618846416
loss/val_denorm_var/thetao,30,1782891245.7721906,0.0350724533200264
loss/val_denorm_var/uo,30,1782891246.034111,0.00954313762485981
loss/val_denorm_var/vo,30,1782891246.2612298,0.009776794351637363
loss/val_denorm_var/zos,30,1782891245.7542584,0.006696178112179041
loss/val_lead/lead_01,30,1782891245.6459453,0.001121461857110262
loss/val_lead_var/siconc/lead_01,30,1782891245.6462193,0.002672809176146984
loss/val_lead_var/sithick/lead_01,30,1782891245.6705108,0.0005909151514060795
loss/val_lead_var/so/lead_01,30,1782891246.0123775,0.00028702730196528137
loss/val_lead_var/thetao/lead_01,30,1782891245.7746274,0.0010470730485394597
loss/val_lead_var/uo/lead_01,30,1782891246.038743,0.004665244836360216
loss/val_lead_var/vo/lead_01,30,1782891246.2639532,0.004895390011370182
loss/val_lead_var/zos/lead_01,30,1782891245.7574959,0.0017270116368308663
loss/val_norm,30,1782891245.6459172,0.001121461857110262
loss/val_norm_lead/lead_01,30,1782891245.6459506,0.001121461857110262
loss/val_norm_lead_var/siconc/lead_01,30,1782891245.651028,0.002672809176146984
loss/val_norm_lead_var/sithick/lead_01,30,1782891245.7409196,0.0005909151514060795
loss/val_norm_lead_var/so/lead_01,30,1782891246.0170295,0.00028702730196528137
loss/val_norm_lead_var/thetao/lead_01,30,1782891245.7771285,0.0010470730485394597
loss/val_norm_lead_var/uo/lead_01,30,1782891246.0431025,0.004665244836360216
loss/val_norm_lead_var/vo/lead_01,30,1782891246.2676547,0.004895390011370182
loss/val_norm_lead_var/zos/lead_01,30,1782891245.7612376,0.0017270116368308663
loss/val_norm_var/siconc,30,1782891245.645965,0.002672809176146984
loss/val_norm_var/sithick,30,1782891245.6631446,0.0005909151514060795
loss/val_norm_var/so,30,1782891246.0028071,0.00028702730196528137
loss/val_norm_var/thetao,30,1782891245.7704523,0.0010470730485394597
loss/val_norm_var/uo,30,1782891246.0291615,0.004665244836360216
loss/val_norm_var/vo,30,1782891246.0569613,0.004895390011370182
loss/val_norm_var/zos,30,1782891245.7511256,0.0017270116368308663
loss/val_var/siconc,30,1782891245.6459603,0.002672809176146984
loss/val_var/sithick,30,1782891245.6591492,0.0005909151514060795
loss/val_var/so,30,1782891245.7815433,0.00028702730196528137
loss/val_var/thetao,30,1782891245.767662,0.0010470730485394597
loss/val_var/uo,30,1782891246.0249686,0.004665244836360216
